molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1379338,CC(NC(=O)Nc1cccc([N+](=O)[O-])c1)(C(F)(F)F)C(F)(F)F,Mitochondrial import inner membrane translocase subunit TIM10,IC50,57200,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1428931,O=C(Nc1ccccc1Cl)C(Cl)C(=O)c1ccccc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,70100,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1728041,O=C(c1cccs1)c1c[nH]cc1-c1ccccc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1487646,N#Cc1sc2nc(C3CC3)cc(-c3ccc(Cl)cc3)c2c1N,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1319185,Cc1ccc(NC(=O)CN2CCC3(O)CCCCC3C2c2ccc3c(c2)OCO3)c(C)c1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,60900,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1299640,COc1ccc(Cc2nnc(S)n2NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,56500,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1555816,Cc1ccc(OCCOc2cccc(Br)c2)c([N+](=O)[O-])n1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,69200,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1546561,COc1ccc(-c2nn(-c3ccccc3)cc2/C=C(\CC(=O)O)c2nc3ccccc3s2)cc1OC,Mitochondrial import inner membrane translocase subunit TIM10,IC50,60800,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1349728,NC(=NOC(=O)CCCOc1ccccc1)c1cccc([N+](=O)[O-])c1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,53400,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1507728,CC(C)c1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3ccc4c(c3)OCO4)CC2)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,75400,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
